"","glm","gee","re_nosig","re_np","lme4","gamm","cop","cop_n","cop_j","cop_g","cop_f","cop_amh","cop_fgm","cop_pl","cop_h","cop_t"
"GA_0.5_2_NA_1_2_1_0.01_100",0.00638216972351074,0.0394311881065369,0.42681143283844,0.337009525299072,0.370538561344147,0.104190533161163,0.211324868202209,0.135528297424316,0.161412496566772,0.222952950000763,0.189478034973145,0.316246137619019,0.285790438652039,1.44648248910904,0.697494654655457,1.7442678976059
"GA_0.75_1.5_NA_1_2_1_0.01_100",0.00625491380691528,0.033489556312561,0.415325129032135,0.342120771408081,0.349110708236694,0.126035523414612,0.208618695735931,0.135051298141479,0.170448439121246,0.205108914375305,0.211778001785278,0.319616739749908,0.294938035011292,0.866230051517487,0.662006897926331,1.75155166149139
"LO_NA_NA_0.25_0.25_0.5_1_0.01_100",0.00560901880264282,0.0283653831481934,0.418894500732422,0.157201702594757,0.204832715988159,0.097743456363678,0.0876359534263611,0.0264738249778748,0.0726891493797302,0.0804382157325745,0.0346423745155334,0.0304824066162109,0.03567547082901,0.0326662230491638,0.0868284130096436,0.126223928928375
"LO_NA_NA_0.5_0.25_0.5_1_0.01_100",0.00550595045089722,0.0322606062889099,0.551185290813446,0.167107908725739,0.238924436569214,0.0917905306816101,0.0846435689926147,0.0270625329017639,0.0597494292259216,0.0682464051246643,0.0355546736717224,0.0418796825408936,0.0497989964485168,0.0346047425270081,0.0648912811279297,0.126249768733978
"NO_1_1_0.25_1_2_1_0.01_100",0.00495197534561157,0.0124132871627808,0.0836333155632019,0.353740866184235,0.0441620898246765,0.0387799525260925,0.118220624923706,0.0548040676116943,0.0785560655593872,0.11456071138382,0.0760853791236877,0.112977297306061,0.0694534707069397,0.0830618143081665,0.603492960929871,1.49698121070862
"NO_1_1_0.5_1_2_1_0.01_100",0.00503700017929077,0.0125322794914246,0.083847279548645,0.383192522525787,0.0431116414070129,0.0389519309997559,0.113151609897614,0.0539327502250671,0.0663858652114868,0.124962642192841,0.0489526557922363,0.148598456382751,0.0831553769111633,0.0848185539245605,0.545167331695557,1.50458711385727
"PO_NA_0.2_5_1_1_1_0.01_100",0.0175505995750427,0.0455866885185242,1.88476293563843,0.349745006561279,4.23710731744766,0.610806069374084,1.41106782436371,1.05939429998398,1.07935006856918,1.1502307343483,0.931270315647125,0.988766074180603,1.64971570491791,1.07620914459229,1.13379910707474,1.58868812799454
"PO_NA_1_1_1_1_1_0.01_100",0.0160206377506256,0.0663482517004013,2.06705743670464,0.560668548941612,4.40064189434051,0.519815760850906,1.25224466323853,0.956456714868546,0.98034365773201,0.984953793883324,0.862806639075279,1.76268475353718,1.8427696198225,4.24918138682842,1.0827878177166,1.44151403605938
