"","glm","gee","re_nosig","re_np","lme4","gamm","cop","cop_n","cop_j","cop_g","cop_f","cop_amh","cop_fgm","cop_pl","cop_h","cop_t"
"GA_0.5_2_NA_1_2_1_0.01_100",0.000910978500436161,0.0133283510709684,0.10458556729963,0.165238112377088,0.127574577625859,0.0180482950030505,0.0275376072892221,0.0389589113041249,0.0531187863082306,0.102883915667999,0.121414449086309,0.11073637937653,0.0776837024852786,0.257839611869956,0.0898952411594216,0.972968797546773
"GA_0.75_1.5_NA_1_2_1_0.01_100",0.000936037250253915,0.0123632422981518,0.125788492023032,0.134950689525723,0.108424776773674,0.0316417680957806,0.0239092093588034,0.0352242865299425,0.0668391546917746,0.0745469368159884,0.126462997151834,0.103376493172118,0.0492240503790244,0.455886605622898,0.0760166835052585,0.992385781710063
"LO_NA_NA_0.25_0.25_0.5_1_0.01_100",0.000841842593709533,0.00616049237310464,0.133227651537856,0.244516690852521,0.0376503248732619,0.0206964403761093,0.0207672268649313,0.00537753923743122,0.0320610825349306,0.0305209746529923,0.0166890048811878,0.0119225245938799,0.0183256030845538,0.013687570533851,0.036115970583343,0.0501159857569118
"LO_NA_NA_0.5_0.25_0.5_1_0.01_100",0.000810171101317925,0.00660302545762387,0.269536210301012,0.259592872395621,0.0808611825369169,0.0153114898647865,0.020678377979667,0.0104628619615839,0.0165253505440474,0.0307451114295558,0.0136908827115492,0.023900609709637,0.0194765302679513,0.014941413616836,0.0171403144349609,0.0381431986566902
"NO_1_1_0.25_1_2_1_0.01_100",0.000871597700787487,0.00269642983690167,0.0134935038608859,0.144084424192109,0.00685853639511297,0.00551496514385415,0.01727218323431,0.0189986633478922,0.037368822441253,0.0554345452237396,0.0830136091876785,0.127683476755542,0.0834453573566091,0.0887746248854791,0.0805521106123794,0.420053856440381
"NO_1_1_0.5_1_2_1_0.01_100",0.00113833559349437,0.00304221745536363,0.0135235579087357,0.165083789610937,0.00743265830920749,0.00643983915054347,0.0171293707350462,0.0158025971190944,0.0118984406675553,0.0514163009092126,0.0217355437585691,0.139507667129693,0.0596412555682792,0.0508367741997662,0.0520604777770535,0.513516926296969
"PO_NA_0.2_5_1_1_1_0.01_100",0.00368099096137244,0.0124155169242652,0.490836882768451,0.314175545638392,0.407374634430591,0.116469614916105,0.207898786830558,0.301078851280407,0.106438113944873,0.118738779317331,0.0731282745903242,0.251748409519003,0.494737195935012,0.373873630790204,0.0949356101246424,0.168068877358668
"PO_NA_1_1_1_1_1_0.01_100",0.00370706562165179,0.017726696115902,1.17275106443749,0.267411113700467,0.624738067604815,0.107609668986525,0.249676598328087,0.248934072475593,0.155912898845075,0.254622159883115,0.127084458108456,0.364890232011466,0.293497273350647,2.22471546476242,0.264744056735659,0.330402755273717
