"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"",-1.65760682686434,-1.65760682686434,-5.37551821379615,-5.4450993358596,-1.58135701233334,-0.834073087273022,-1.6094379124341,0.2,0.822830830830831,50,6.25
"",-1.13437811346137,-1.13437811346173,-2.67425233449627,-2.67356701619155,-1.14203812296495,-1.09535744367134,-1.20397280432594,0.3,0.262234234234234,22.2222222222222,2.77777777777778
"",-1.13417680506631,-1.13417680513966,-3.07070177838119,-3.65946948433221,-1.15968187093604,-1.04469927212621,-1.20397280432594,0.3,0.360728728728729,22.2222222222222,2.77777777777778
"",-1.09345513383364,-1.09345513952052,-3.11202298886444,-4.38997703832412,-1.09665269969707,-0.967968195157585,-1.20397280432594,0.3,0.437073073073073,22.2222222222222,2.77777777777778
"",-1.16508977971542,-1.16508977971809,-3.2529091172382,-4.34735400473002,-1.17445301556048,-1.01725916899032,-1.20397280432594,0.3,0.493921921921922,22.2222222222222,2.77777777777778
"",-1.28003419104351,-1.28003419167106,-3.34475962796577,-3.34427824748754,-1.27049629188233,-1.12335881456662,-1.20397280432594,0.3,0.518182182182182,22.2222222222222,2.77777777777778
"",-1.27806627091033,-1.27806627092337,-3.3890118829813,-4.40340978724164,-1.29115463396436,-1.12011994053383,-1.20397280432594,0.3,0.569269269269269,22.2222222222222,2.77777777777778
"",-1.22440200259899,-1.22440200260096,-3.36604620881804,-3.63869921902123,-1.24586464657601,-1.03011128271395,-1.20397280432594,0.3,0.595375375375375,22.2222222222222,2.77777777777778
"",-1.22772441999545,-1.22772445100589,-3.35302766314996,-3.60392607139896,-1.22799777130402,-1.02320098929961,-1.20397280432594,0.3,0.61206006006006,22.2222222222222,2.77777777777778
"",-1.20820210575623,-1.20820210575621,-3.36121396929151,-3.58894675319052,-1.20782712764785,-0.985018912806822,-1.20397280432594,0.3,0.639355355355355,22.2222222222222,2.77777777777778
"",-1.20033819240866,-1.20033820436381,-3.34680819007504,-4.27824577437946,-1.19587675654642,-0.985715633211893,-1.20397280432594,0.3,0.652872872872873,22.2222222222222,2.77777777777778
"",-1.19914540435843,-1.19914540460363,-3.34099493970068,-4.2425706576146,-1.1798734009924,-0.962471426390509,-1.20397280432594,0.3,0.667315315315315,22.2222222222222,2.77777777777778
"",-1.22481927492069,-1.22481927492095,-3.34799711350967,-3.34799714881861,-1.24976279384296,-0.961533361684924,-1.20397280432594,0.3,0.670642642642643,22.2222222222222,2.77777777777778
"",-1.14016163631069,-1.14016163631067,-3.35614628533209,-4.20554964486966,-1.16616148951941,-0.872168681152169,-1.20397280432594,0.3,0.699039039039039,22.2222222222222,2.77777777777778
"",-1.23832297590188,-1.23832297590363,-3.3913233533413,-4.24260727720713,-1.22363205936347,-0.953190032176322,-1.20397280432594,0.3,0.704488488488488,22.2222222222222,2.77777777777778
"",-1.23344848908681,-1.2334484890887,-3.39542050008858,-4.24317425076052,-1.22766468947262,-0.931864141144714,-1.20397280432594,0.3,0.711535535535536,22.2222222222222,2.77777777777778
"",-1.1781787597825,-1.17817876554938,-3.41032720915022,-4.25068117833273,-1.14728953790236,-0.869957166981149,-1.20397280432594,0.3,0.737461461461461,22.2222222222222,2.77777777777778
"",-1.19521673512317,-1.19521673557169,-3.41120685751274,-2.99213550757148,-1.16968078045724,-0.894620736663109,-1.20397280432594,0.3,0.738158158158158,22.2222222222222,2.77777777777778
"",-1.27231267094196,-1.27231267094196,-3.43634205617841,-4.26864203103188,-1.21126424814523,-0.979489992161209,-1.20397280432594,0.3,0.751427427427427,22.2222222222222,2.77777777777778
"",-1.2985689144226,-1.29856891442258,-3.43605007859236,-3.55414599758494,-1.26227684742836,-0.995782767534283,-1.20397280432594,0.3,0.740276276276276,22.2222222222222,2.77777777777778
"",-1.27522023388097,-1.27522023388098,-3.44994171314347,-4.2464608047148,-1.27440814282461,-0.971968051561836,-1.20397280432594,0.3,0.76207007007007,22.2222222222222,2.77777777777778
"",-0.876778300071085,-0.876778302399819,-1.8302464198365,-1.81875586551278,-0.877730465054026,-0.861185219121939,-0.916290731874155,0.4,0.21790990990991,12.5,1.5625
